champion_id,champion_name,patch,games_played,wins,bans,winrate,pickrate,banrate,opgg_winrate,opgg_pickrate,opgg_banrate,opgg_tier,top_games,jungle_games,mid_games,adc_games,support_games,updated_at,opgg_updated_at
245,Ekko,15.9,5,1,0,0.2,0.007692307692307693,0.0,0.5163,0.0448,0.0132,S,0,0,5,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
799,Ambessa,15.9,5,4,9,0.8,0.007692307692307693,0.013846153846153847,0.4985,0.112,0.1339,A,5,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
800,Mel,15.9,5,1,14,0.2,0.007692307692307693,0.02153846153846154,,,,,0,0,3,2,0,2025-12-10 14:32:18,
902,Milio,15.9,5,3,0,0.6,0.007692307692307693,0.0,0.4921,0.0287,0.0054,B,0,0,0,0,5,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
8,Vladimir,15.9,4,2,10,0.5,0.006153846153846154,0.015384615384615385,0.4891,0.0166,0.0135,B,3,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
13,Ryze,15.9,4,3,0,0.75,0.006153846153846154,0.0,0.4894,0.0512,0.0104,B,1,0,3,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
26,Zilean,15.9,4,0,0,0.0,0.006153846153846154,0.0,0.5185,0.0247,0.0035,A,0,0,1,0,3,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
30,Karthus,15.9,4,1,0,0.25,0.006153846153846154,0.0,0.5151,0.023,0.1032,A,0,0,1,3,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
36,Dr. Mundo,15.9,4,2,2,0.5,0.006153846153846154,0.003076923076923077,0.4803,0.0187,0.0199,B,3,1,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
38,Kassadin,15.9,4,2,2,0.5,0.006153846153846154,0.003076923076923077,0.5341,0.0141,0.0019,S,0,0,4,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
43,Karma,15.9,4,4,0,1.0,0.006153846153846154,0.0,0.5107,0.0959,0.0478,A,0,0,0,0,4,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
56,Nocturne,15.9,4,2,2,0.5,0.006153846153846154,0.003076923076923077,0.491,0.0195,0.0145,B,0,4,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
63,Brand,15.9,4,0,2,0.0,0.006153846153846154,0.003076923076923077,0.5089,0.0051,0.001,A,0,2,1,1,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
79,Gragas,15.9,4,2,2,0.5,0.006153846153846154,0.003076923076923077,,,,,2,0,0,0,2,2025-12-10 14:32:18,
86,Garen,15.9,4,3,1,0.75,0.006153846153846154,0.0015384615384615385,,,,,4,0,0,0,0,2025-12-10 14:32:18,
91,Talon,15.9,4,2,24,0.5,0.006153846153846154,0.036923076923076927,0.5024,0.0377,0.0235,A,0,3,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
96,Kog'Maw,15.9,4,1,0,0.25,0.006153846153846154,0.0,0.5234,0.0058,0.0007,C,0,0,0,4,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
99,Lux,15.9,4,1,0,0.25,0.006153846153846154,0.0,0.4723,0.0453,0.0087,C,0,0,2,0,2,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
103,Ahri,15.9,4,2,11,0.5,0.006153846153846154,0.016923076923076923,0.5263,0.0654,0.0051,A,0,0,4,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
121,Kha'Zix,15.9,4,3,1,0.75,0.006153846153846154,0.0015384615384615385,0.5037,0.0293,0.0111,A,0,4,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
235,Senna,15.9,4,2,1,0.5,0.006153846153846154,0.0015384615384615385,0.5078,0.025,0.003,A,0,0,0,0,4,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
