elo,server,patch,label,name,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
TOUT,TOUT,16.3,105,Fiddlesticks,jun,78.2%,C,51.1%,-0.2%,3.1%,278 008
TOUT,TOUT,16.3,106,Zilean,sup,86.6%,C,51.4%,+0.1%,2.2%,200 043
TOUT,TOUT,16.3,107,Shen,top,74.5%,C,51.1%,+0.5%,3.4%,303 534
TOUT,TOUT,16.3,108,Vel'Koz,sup,65.8%,C,50.9%,-0.2%,3.2%,284 770
TOUT,TOUT,16.3,109,Heimerdinger,top,62.6%,C,51.2%,+1.4%,1.5%,136 949
TOUT,TOUT,16.3,110,Kled,top,92.6%,C,51.5%,+0.2%,1.5%,135 901
TOUT,TOUT,16.3,111,Shaco,sup,16.6%,C,49.9%,+0.2%,1.1%,97 558
TOUT,TOUT,16.3,112,Vel'Koz,mid,26.7%,C,51.4%,+0.0%,1.3%,115 640
TOUT,TOUT,16.3,113,Anivia,mid,75.6%,C,51.0%,-0.4%,2.5%,227 509
TOUT,TOUT,16.3,114,Malphite,jun,29.2%,C,49.1%,-0.2%,3.5%,313 810
TOUT,TOUT,16.3,115,Sejuani,jun,84.3%,C,51.2%,+0.1%,2.3%,206 832
TOUT,TOUT,16.3,116,Xerath,sup,41.2%,C,50.2%,-0.2%,2.8%,251 491
TOUT,TOUT,16.3,117,Lillia,jun,95.8%,C,50.6%,+0.4%,2.8%,253 259
TOUT,TOUT,16.3,118,Renekton,top,94.2%,C,49.9%,+0.1%,4.8%,428 139
TOUT,TOUT,16.3,119,Vi,jun,95.2%,C,50.1%,+2.0%,5.0%,443 129
TOUT,TOUT,16.3,120,Karma,sup,93.6%,C,49.4%,+0.1%,6.0%,541 179
TOUT,TOUT,16.3,121,Nunu,jun,93.3%,C,50.7%,+1.6%,2.8%,246 267
TOUT,TOUT,16.3,122,Aatrox,top,83.4%,C,49.1%,+0.1%,5.1%,457 051
TOUT,TOUT,16.3,123,Vayne,top,24.0%,C,49.4%,+0.3%,2.4%,218 816
