Nom,Heure,Fréquence,Action
\Microsoft\Windows\Sysmain\HybridDriveCachePrepopulate,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Sysmain\HybridDriveCacheRebalance,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Task Manager\Interactive,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\CloudExperienceHost\CreateObjectTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Chkdsk\SyspartRepair,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\bcdboot.exe %windir% /sysrepair
\MySQL\Installer\ManifestUpdate,00:00,Les données de planification ne sont pas disponibles dans ce format.,"""C:\Program Files (x86)\MySQL\MySQL Installer for Windows\MySQLInstallerConsole.exe"" Community Update"
\Microsoft\Windows\BitLocker\BitLocker MDM policy Refresh,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Agent Activation Runtime\S-1-5-21-2000315303-141863411-690295039-1001,00:00,Les données de planification ne sont pas disponibles dans ce format.,C:\WINDOWS\System32\AgentActivationRuntimeStarter.exe
\Microsoft\Windows\BitLocker\BitLocker Encrypt All Drives,00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\NVIDIA GeForce Experience SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},00:00,Les données de planification ne sont pas disponibles dans ce format.,"""C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA GeForce Experience.exe"""
\Microsoft\Office\Office Performance Monitor,00:00,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\operfmon.exe
\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Bluetooth\UninstallDeviceTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,BthUdTask.exe $(Arg0)
\Microsoft\Windows\AppID\PolicyConverter,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\appidpolicyconverter.exe
\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\appidcertstorecheck.exe
\Microsoft\Windows\Application Experience\MareBackup,00:00,Les données de planification ne sont pas disponibles dans ce format.,Actions multiples
\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser Exp,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\compattelrunner.exe -m:appraiser.dll -f:DoScheduledTelemetryRun express
