iter	Passed	Remaining
147	33635	79998
148	33862	79769
149	34076	79510
150	34251	79164
151	34470	78919
152	34678	78650
153	34820	78234
154	35063	78043
155	35273	77782
156	35504	77566
157	35715	77307
158	35957	77117
159	36154	76828
160	36393	76629
161	36591	76344
162	36776	76034
163	37009	75823
164	37232	75592
165	37378	75206
166	37617	75009
167	37808	74717
168	38028	74481
169	38252	74254
170	38480	74035
171	38715	73829
172	38935	73594
173	39132	73317
174	39320	73024
175	39525	72763
176	39759	72555
177	39966	72299
178	40203	72096
179	40393	71810
180	40648	71639
181	41021	71674
182	41219	71402
183	41440	71169
184	41613	70854
185	41778	70529
186	42013	70321
187	42188	70015
188	42451	69854
189	42694	69658
190	42861	69340
191	43061	69078
192	43288	68858
193	43491	68599
194	43727	68393
195	43944	68158
196	44177	67948
197	44362	67664
198	44587	67442
199	44800	67201
200	45021	66972
201	45225	66719
202	45404	66428
203	45633	66213
204	45830	65951
205	46061	65738
206	46274	65499
207	46508	65290
208	46760	65107
209	46961	64851
210	47178	64619
211	47416	64415
212	47628	64175
213	47825	63916
214	48005	63635
215	48241	63428
216	48455	63193
217	48674	62963
218	48884	62723
219	49039	62414
220	49273	62204
221	49463	61941
222	49707	61744
223	49894	61477
224	50075	61203
225	50285	60966
226	50492	60724
227	50649	60423
228	50855	60182
229	51082	59966
230	51281	59717
231	51519	59514
232	51732	59280
233	51967	59074
234	52173	58833
235	52347	58557
236	52497	58256
237	52713	58029
238	52922	57793
239	53146	57575
240	53362	57347
241	53559	57101
242	53745	56841
243	53979	56634
244	54237	56451
245	54451	56222
246	54683	56012
247	54912	55798
248	55093	55536
249	55336	55336
250	55559	55116
251	55769	54884
252	55986	54659
253	56221	54450
254	56478	54263
255	56699	54041
256	56891	53792
257	57109	53568
258	57314	53331
259	57521	53096
260	57750	52882
261	57980	52669
262	58171	52420
263	58401	52207
264	58620	51984
265	58764	51695
266	58993	51481
267	59228	51272
268	59433	51037
269	59642	50806
270	59857	50580
271	60076	50358
272	60304	50142
273	60530	49926
274	60746	49701
275	60947	49464
276	61167	49242
277	61388	49022
278	61616	48807
279	61835	48585
280	62042	48353
281	62241	48115
282	62467	47898
283	62724	47706
284	62934	47477
285	63104	47218
286	63324	46996
287	63522	46759
288	63730	46529
289	63941	46302
290	64135	46063
291	64363	45847
292	64532	45590
293	64769	45382
294	64999	45169
295	65236	44960
296	65467	44746
297	65641	44495
298	65867	44278
299	66041	44027
300	66265	43809
301	66499	43599
302	66733	43387
303	66948	43164
304	67159	42937
305	67382	42719
306	67605	42500
307	67827	42281
308	68043	42059
309	68284	41851
310	68523	41642
311	68757	41430
312	68956	41197
313	69190	40985
314	69418	40769
315	69632	40545
316	69814	40303
317	70011	40069
318	70248	39858
319	70467	39637
320	70704	39427
321	70929	39209
322	71165	38997
323	71411	38791
324	71636	38573
325	71855	38352
326	72061	38124
327	72305	37916
328	72521	37693
329	72745	37474
330	72974	37258
331	73179	37030
332	73373	36797
333	73587	36573
334	73813	36356
335	74013	36125
336	74203	35890
337	74444	35680
338	74620	35439
339	74825	35211
340	75045	34991
341	75266	34772
342	75477	34547
343	75681	34320
344	75880	34091
345	76075	33860
346	76307	33645
347	76529	33426
348	76744	33204
349	76987	32994
350	77199	32771
351	77402	32544
352	77583	32308
353	77810	32091
354	78039	31875
355	78253	31653
356	78437	31418
357	78639	31192
358	78854	30970
359	79085	30755
360	79311	30538
361	79524	30315
362	79745	30096
363	79949	29871
364	80204	29664
365	80389	29432
366	80580	29202
367	80778	28974
368	81023	28764
369	81217	28535
370	81467	28326
371	81689	28108
372	81885	27880
373	82101	27659
374	82285	27428
375	82486	27202
376	82638	26961
377	82937	26768
378	83161	26550
379	83357	26323
380	83592	26108
381	83800	25886
382	84002	25661
383	84159	25423
384	84319	25186
385	84547	24969
386	84728	24739
387	84938	24518
388	85171	24303
389	85367	24078
390	85561	23852
391	85807	23640
392	85996	23413
393	86213	23194
394	86458	22982
395	86677	22763
396	86880	22540
397	87085	22318
