SummonerName,PUUID,LeagueId,LeaguePoints,Wins,Losses,Rank
,EYF-OOR00hWZGPISqXEMTV_8CJ1C2WzaDKdx23bEnJ3BiuJakuyXJufdnV89oxvGMJ2p7PsKDLSH7w,d41d5d37-66f1-483f-b11a-a7f6f6ceea95,51,88,84,I
,8-vWZ9tFWOXkuJPId6DM7cqrAJU5cXS7n9YhGit6jS6FH0deYNgAuTCxvHWqAQoBrpeBfmKR4Bg2tQ,2564570a-29ed-4467-98da-b55b078466a2,53,44,30,I
,U57m4wfHBaGQ5CAAoEQge4QmuPOGmXPo_2Rve4LD1d6zZ9hV4ULtzpcDZVC8tQBMmQyDfIACdWT_XA,e9dffe4a-e75a-4da7-9997-f59c8392910b,98,68,57,I
,w2liIAROUUo5J7upWOFRC8P_XeP1xwVzCt8HdZC06_QqTnP1Qkjmv3lBZpEP3R8feLaDlOz1viF3Kg,0bfc0e19-8123-4a5d-a13b-8864e8afe66b,75,85,89,I
,KAKRPMR6ZnXGCdmeqj-rwTQ13rKEovuLg1HaorQdpGw-lh1uN1ytgizycLYCcI3PuUE6UIsU0oN9Hg,b37a85fa-bc43-43d0-a49a-1df711073be8,45,78,59,I
,ZEWalQ6HQh3kTIIJVgA_i3A919OtBvzP9D-Rb4Esmu72aGj_g1nBs0DLMxH0KW4hNwzR4xJrbLCPUw,eb2cc640-c214-4a66-abbf-274a3f0770d8,51,124,111,I
,aHswZPaiNVFCmgSyrHMD9eiFvhkeVWjx2-mMLhpZ2CvBz7lHwPuWdP5fa1S7GhOWEKfpc-NqQTu6_g,a84f96bf-af6c-481d-aca2-9227e1d337fe,10,117,104,I
,f5ZrW6M9vdPoFF2SfdGX2mpKSFp0NG4T0x0XEwqFPCzalNnY0xT42EyWZv2IQ-WVGtNRI_N6hJA2ng,f00d9f28-0ed0-4fa2-a1a8-c14597f800db,75,69,39,I
,J1KTfYO2A_uvGw6jYl9LjCVK22LTgf5H8CxSS-8V1gQoinRV-iTuFzbLo-qm44X3GeDK4bAEpaLoKA,9fd4628f-b065-44ce-9cd4-ad6c57233fb2,75,44,31,I
,OLjKjvcf1vzzA4VuZxqYjnj1RY33DJOWPjOVTCha6qwT30sjJ2VsH8XJ0KDEleLQZesqlY-opgJaVA,7ef36f8c-1414-4669-999c-144294d08937,56,169,164,I
,GIFS87jeZvxJmWbNkEq2XEIZ9joBooxfBCDTLhmHNi5g0ytNZOuPDy2AAzBIqiXO1mzdKhPbE6PQyw,800d0738-1839-4fe2-9ac7-5ca5d1bcc626,80,396,424,I
,rKDLagXB9dnV4X0r_86lAHmBmVTblPTktEeraZJCZX8uw7UVpKXhKJaP403YBoe8TXnWwOWcQ2EKwA,537265e7-0f46-4ee4-b76a-c7f6a14b5d73,61,117,116,I
,bwHo40n5Cytpq2A42JU0c32IZ77TmbNRcVtZi_t7Pt7GelHwaNUjCogusJ686Dlhi6VLPWvDrKve2A,24e5cf2e-1acc-4410-8ed6-b581f8dc36ae,75,35,27,I
,JDDoR7hSZQJ3cyAK2iB36jlZbftrwF-eBmGX2J7pfdqC9ufEuxbOmHcZPGd2zA9eSR4wAmBMjoWzeg,d23b3a40-5340-4961-b1b2-5e939a075eff,75,142,131,I
,z8XKR-bfyEUXw2h9I1fHD4dIrNBQIGpG5AmbV7b4hdFC1GhpLcBPiJ8qTD8vtsLT5ZnF4LfNz0ILhQ,00c21290-b6ad-4477-9b3b-199a8e9c7422,75,307,300,I
,uqY67u1PNEtEh669recG9hiAl8LhitCFogPaVzedWCPIl_BRny9CsVOcjqkbDDlAQKfNPpSA-rRWWQ,0bcea4f1-7c93-4a3a-9dca-9105241811f2,75,240,211,I
,ArWhdBtWGPhplwhOTcXrkeloC2tzdjJQA379EIrQhzvNLB93isFXUZ-hfItCioV-znekhMNnfZ7Kag,f9a8c2ca-de15-4558-a6fe-9b1df732c2b2,75,67,22,I
,5SuKQuzcdcDzInHT9Iw_YyeRBwlCf-4NX_czl9TmpOszuulxQGcUdsjCAN3B2vX3KJU1wHOquH4EVA,77f4f37d-d061-4451-bf88-9bcd2fa20296,75,43,29,I
,Wfn6zdd7dSRL1FLQkYxTze4GsyvH4OH-EdG5ZwXozeRZ-s0sBhPv12RuCjE1eAiIIe8IRXHmUdeHcQ,42832c4b-5df9-4c49-a025-59efa7b14188,84,485,492,I
,rvBwadexy0pLEaP3IAW71vE4PVVv8rW8LI-CI4hr9T7WKXzqlgSo2oNVADJcTskWVwMAGONQ3IK7Dw,689c0bf8-5e59-4e91-bbc5-bc724c75b2eb,75,183,146,I
